Order,Event,Name,MMA Record,UFC Record,Fight Minutes,xR,xR%,OPPONENT UFC CAREER STATISTICS_UFC Record,OPPONENT UFC CAREER STATISTICS_Fight Minutes,OPPONENT UFC CAREER STATISTICS_xR,OPPONENT UFC CAREER STATISTICS_xR%,OPPONENT UFC CAREER STATISTICS_Wins,OPPONENT UFC CAREER STATISTICS_Win%,OPPONENT UFC CAREER STATISTICS_KO,OPPONENT UFC CAREER STATISTICS_KO%,OPPONENT UFC CAREER STATISTICS_SUB,OPPONENT UFC CAREER STATISTICS_SUB%,AVERAGE OPPONENT UFC CAREER STATISTICS_Avg Fight Minutes,AVERAGE OPPONENT UFC CAREER STATISTICS_Avg xR,AVERAGE OPPONENT UFC CAREER STATISTICS_Avg xR%,AVERAGE OPPONENT UFC CAREER STATISTICS_Avg Wins,AVERAGE OPPONENT UFC CAREER STATISTICS_Avg Win%,AVERAGE OPPONENT UFC CAREER STATISTICS_Avg KO,AVERAGE OPPONENT UFC CAREER STATISTICS_Avg KO%,AVERAGE OPPONENT UFC CAREER STATISTICS_Avg SUB,AVERAGE OPPONENT UFC CAREER STATISTICS_Avg SUB%,OPPONENT STATISTICS AMONG EACH FIGHTER'S UFC WINS_UFC Record,OPPONENT STATISTICS AMONG EACH FIGHTER'S UFC WINS_Fight Minutes,OPPONENT STATISTICS AMONG EACH FIGHTER'S UFC WINS_xR,OPPONENT STATISTICS AMONG EACH FIGHTER'S UFC WINS_xR%,OPPONENT STATISTICS AMONG EACH FIGHTER'S UFC WINS_Wins,OPPONENT STATISTICS AMONG EACH FIGHTER'S UFC WINS_Win%,OPPONENT STATISTICS AMONG EACH FIGHTER'S UFC WINS_KO,OPPONENT STATISTICS AMONG EACH FIGHTER'S UFC WINS_KO%,OPPONENT STATISTICS AMONG EACH FIGHTER'S UFC WINS_SUB,OPPONENT STATISTICS AMONG EACH FIGHTER'S UFC WINS_SUB%,AVERAGE OPPONENT STATISTICS AMONG EACH FIGHTER'S UFC WINS_Avg Fight Minutes,AVERAGE OPPONENT STATISTICS AMONG EACH FIGHTER'S UFC WINS_Avg xR,AVERAGE OPPONENT STATISTICS AMONG EACH FIGHTER'S UFC WINS_Avg xR%,AVERAGE OPPONENT STATISTICS AMONG EACH FIGHTER'S UFC WINS_Avg Wins,AVERAGE OPPONENT STATISTICS AMONG EACH FIGHTER'S UFC WINS_Avg Win%,AVERAGE OPPONENT STATISTICS AMONG EACH FIGHTER'S UFC WINS_Avg KO,AVERAGE OPPONENT STATISTICS AMONG EACH FIGHTER'S UFC WINS_Avg KO%,AVERAGE OPPONENT STATISTICS AMONG EACH FIGHTER'S UFC WINS_Avg SUB,AVERAGE OPPONENT STATISTICS AMONG EACH FIGHTER'S UFC WINS_Avg SUB%,OPPONENT STATISTICS AMONG EACH FIGHTER'S UFC LOSSES_UFC Record,OPPONENT STATISTICS AMONG EACH FIGHTER'S UFC LOSSES_Fight Minutes,OPPONENT STATISTICS AMONG EACH FIGHTER'S UFC LOSSES_xR,OPPONENT STATISTICS AMONG EACH FIGHTER'S UFC LOSSES_xR%,OPPONENT STATISTICS AMONG EACH FIGHTER'S UFC LOSSES_Wins,OPPONENT STATISTICS AMONG EACH FIGHTER'S UFC LOSSES_Win%,OPPONENT STATISTICS AMONG EACH FIGHTER'S UFC LOSSES_KO,OPPONENT STATISTICS AMONG EACH FIGHTER'S UFC LOSSES_KO%,OPPONENT STATISTICS AMONG EACH FIGHTER'S UFC LOSSES_SUB,OPPONENT STATISTICS AMONG EACH FIGHTER'S UFC LOSSES_SUB%,AVERAGE OPPONENT STATISTICS AMONG EACH FIGHTER'S UFC LOSSES_Avg Fight Minutes,AVERAGE OPPONENT STATISTICS AMONG EACH FIGHTER'S UFC LOSSES_Avg xR,AVERAGE OPPONENT STATISTICS AMONG EACH FIGHTER'S UFC LOSSES_Avg xR%,AVERAGE OPPONENT STATISTICS AMONG EACH FIGHTER'S UFC LOSSES_Avg Wins,AVERAGE OPPONENT STATISTICS AMONG EACH FIGHTER'S UFC LOSSES_Avg Win%,AVERAGE OPPONENT STATISTICS AMONG EACH FIGHTER'S UFC LOSSES_Avg KO,AVERAGE OPPONENT STATISTICS AMONG EACH FIGHTER'S UFC LOSSES_Avg KO%,AVERAGE OPPONENT STATISTICS AMONG EACH FIGHTER'S UFC LOSSES_Avg SUB,AVERAGE OPPONENT STATISTICS AMONG EACH FIGHTER'S UFC LOSSES_Avg SUB%
01a,UFC FN: Du Plessis vs. Usman,Dricus Du Plessis,23-3-0,9-1-0,149,18.0,56%,108-39-1,"1,981",270.3,64%,108,73%,34,31%,10,9%,198,27.0,62%,10.8,71%,3.4,31%,1.0,18%,100-39-1,1932,260.2,63%,100,71%,32,32%,6,6%,215,28.9,60%,11.1,68%,3.6,31%,0.7,14%,8-0-0,49,10.1,78%,8,100%,2,25%,4,50%,49,10.1,78%,8.0,100%,2.0,25%,4.0,50%
01b,UFC FN: Du Plessis vs. Usman,Kamaru Usman,21-4-0,16-3-0,339,56.3,79%,162-51-2,"2,759",389.4,65%,162,75%,49,30%,34,21%,145,20.5,65%,8.5,78%,2.6,30%,1.8,20%,133-47-2,2278,323.7,66%,133,73%,42,32%,29,22%,142,20.2,64%,8.3,75%,2.6,31%,1.8,20%,29-4-0,481,65.7,63%,29,88%,7,24%,5,17%,160,21.9,69%,9.7,90%,2.3,26%,1.7,22%
02a,UFC FN: Du Plessis vs. Usman,Jared Cannonier,18-9-0,11-9-0,278,27.5,45%,135-50-1,"2,233",306.4,63%,135,73%,55,41%,18,13%,112,15.3,63%,6.8,72%,2.8,37%,0.9,14%,82-33-1,1353,191.6,64%,82,71%,33,40%,12,15%,123,17.4,64%,7.5,68%,3.0,34%,1.1,12%,53-17-0,880,114.8,60%,53,76%,22,42%,6,11%,98,12.8,62%,5.9,76%,2.4,41%,0.7,15%
02b,UFC FN: Du Plessis vs. Usman,Christian Leroy Duncan,14-2-0,7-2-0,90,12.9,64%,33-23-0,595,71.1,54%,33,59%,22,67%,0,0%,66,7.9,57%,3.7,59%,2.4,74%,0.0,0%,25-20-0,485,53.6,51%,25,56%,17,68%,0,0%,69,7.7,52%,3.6,55%,2.4,85%,0.0,0%,8-3-0,110,17.4,70%,8,73%,5,63%,0,0%,55,8.7,69%,4.0,71%,2.5,42%,0.0,0%
03a,UFC FN: Du Plessis vs. Usman,Chase Hooper,16-5-1,8-5-0,115,15.5,60%,75-70-1,"1,630",179.8,50%,75,51%,18,24%,21,28%,125,13.8,39%,5.8,35%,1.4,38%,1.6,12%,54-47-1,1112,122.3,49%,54,53%,12,22%,19,35%,139,15.3,36%,6.8,35%,1.5,31%,2.4,17%,21-23-0,518,57.5,51%,21,48%,6,29%,2,10%,104,11.5,44%,4.2,35%,1.2,49%,0.4,5%
03b,UFC FN: Du Plessis vs. Usman,Mitch Ramirez,8-3-0,0-2-0,19,0.5,9%,10-7-0,199,17.1,40%,10,59%,1,10%,4,40%,99,8.5,42%,5.0,61%,0.5,13%,2.0,38%,0-0-0,0,0.0,,0,,0,,0,,,,,,,,,,,10-7-0,199,17.1,40%,10,59%,1,10%,4,40%,99,8.5,42%,5.0,61%,0.5,13%,2.0,38%
04a,UFC FN: Du Plessis vs. Usman,Tabatha Ricci,12-4-0,7-4-0,143,14.4,48%,66-46-0,"1,425",171.6,58%,66,59%,8,12%,20,30%,130,15.6,62%,6.0,63%,0.7,18%,1.8,33%,43-36-0,975,115.1,56%,43,54%,5,12%,15,35%,139,16.4,56%,6.1,54%,0.7,9%,2.1,43%,23-10-0,450,56.5,61%,23,70%,3,13%,5,22%,113,14.1,70%,5.8,77%,0.8,31%,1.3,18%
04b,UFC FN: Du Plessis vs. Usman,Fatima Kline,9-1-0,3-1-0,52,7.8,71%,20-19-0,553,59.7,53%,20,51%,3,15%,2,10%,138,14.9,52%,5.0,57%,0.8,16%,0.5,8%,16-17-0,463,48.6,51%,16,48%,3,19%,1,6%,154,16.2,49%,5.3,54%,1.0,22%,0.3,3%,4-2-0,89,11.1,62%,4,67%,0,0%,1,25%,89,11.1,62%,4.0,67%,0.0,0%,1.0,25%
05a,UFC FN: Du Plessis vs. Usman,Tommy McMillen,10-0-0,1-0-0,4,1.0,100%,0-1-0,4,0.0,0%,0,0%,0,,0,,4,0.0,0%,0.0,0%,0.0,,0.0,,0-1-0,4,0.0,0%,0,0%,0,,0,,4,0.0,0%,0.0,0%,0.0,,0.0,,0-0-0,0,0.0,,0,,0,,0,,,,,,,,,,
05b,UFC FN: Du Plessis vs. Usman,Alberto Montes,12-1-0,1-0-0,6,1.6,79%,2-3-0,67,7.4,53%,2,40%,0,0%,0,0%,67,7.4,53%,2.0,40%,0.0,0%,0.0,0%,2-3-0,67,7.4,53%,2,40%,0,0%,0,0%,67,7.4,53%,2.0,40%,0.0,0%,0.0,0%,0-0-0,0,0.0,,0,,0,,0,,,,,,,,,,
