"Name","Event","Date","Weight Class","Age","Reach","Height","Stance","Pro Record","Bout Order","Side"
"Dricus Du Plessis","UFC FN: Du Plessis vs. Usman","Jul 18, 2026","Middleweight","32.5 years","76in","6ft 1in","Switch","23-3-0","01","A"
"Kamaru Usman","UFC FN: Du Plessis vs. Usman","Jul 18, 2026","Middleweight","39.2 years","76in","6ft 0in","Switch","21-4-0","01","B"
"Jared Cannonier","UFC FN: Du Plessis vs. Usman","Jul 18, 2026","Middleweight","42.3 years","77in","5ft 11in","Switch","18-9-0","02","A"
"Christian Leroy Duncan","UFC FN: Du Plessis vs. Usman","Jul 18, 2026","Middleweight","31 years","79in","6ft 2in","Switch","14-2-0","02","B"
"Chase Hooper","UFC FN: Du Plessis vs. Usman","Jul 18, 2026","Lightweight","26.8 years","74in","6ft 1in","Southpaw","16-5-1","03","A"
"Mitch Ramirez","UFC FN: Du Plessis vs. Usman","Jul 18, 2026","Lightweight","33.7 years","71in","5ft 11in","Orthodox","8-3-0","03","B"
"Tabatha Ricci","UFC FN: Du Plessis vs. Usman","Jul 18, 2026","Women's Strawweight","31.4 years","61in","5ft 1in","Orthodox","12-4-0","04","A"
"Fatima Kline","UFC FN: Du Plessis vs. Usman","Jul 18, 2026","Women's Strawweight","26 years","67in","5ft 6in","Orthodox","9-1-0","04","B"
"Tommy McMillen","UFC FN: Du Plessis vs. Usman","Jul 18, 2026","Featherweight","28.6 years","74in","6ft 0in","Orthodox","10-0-0","05","A"
"Alberto Montes","UFC FN: Du Plessis vs. Usman","Jul 18, 2026","Featherweight","32.1 years","69in","5ft 7in","Orthodox","12-1-0","05","B"
"Austin Bashi","UFC FN: Du Plessis vs. Usman","Jul 18, 2026","Featherweight","24.8 years","70in","5ft 6in","Orthodox","14-1-0","06","A"
"Jose Delgado","UFC FN: Du Plessis vs. Usman","Jul 18, 2026","Featherweight","28.2 years","74in","5ft 11in","Switch","11-2-0","06","B"
"Jean-Paul Lebosnoyani","UFC FN: Du Plessis vs. Usman","Jul 18, 2026","Welterweight","27.5 years","72in","5ft 11in","Switch","10-2-0","07","A"
"Seokhyeon Ko","UFC FN: Du Plessis vs. Usman","Jul 18, 2026","Welterweight","32.8 years","71in","5ft 10in","Southpaw","13-2-0","07","B"
"Levi Rodrigues Jr.","UFC FN: Du Plessis vs. Usman","Jul 18, 2026","Light Heavyweight","29.8 years","76in","6ft 0in","Orthodox","5-0-0 (1 NC)","08","A"
"Felipe Franco","UFC FN: Du Plessis vs. Usman","Jul 18, 2026","Light Heavyweight","25.5 years","76in","6ft 1in","Orthodox","10-2-0","08","B"
"Alden Coria","UFC FN: Du Plessis vs. Usman","Jul 18, 2026","Flyweight","28.2 years","67in","5ft 8in","Orthodox","12-3-0 (1 NC)","09","A"
