Order,Event,Name,MMA Record,UFC Record,WRESTLING/GRAPPLING PREVALENCE & EFFICIENCY_Fight Minutes,WRESTLING/GRAPPLING PREVALENCE & EFFICIENCY_Distance %,WRESTLING/GRAPPLING PREVALENCE & EFFICIENCY_Control %,WRESTLING/GRAPPLING PREVALENCE & EFFICIENCY_Controlled %,WRESTLING/GRAPPLING PREVALENCE & EFFICIENCY_Control Rate,TAKEDOWN EFFICIENCY_Landed,TAKEDOWN EFFICIENCY_Attempted,TAKEDOWN EFFICIENCY_Accuracy,TAKEDOWN EFFICIENCY_Conceded,TAKEDOWN EFFICIENCY_Defended,TAKEDOWN EFFICIENCY_Faced,TAKEDOWN EFFICIENCY_Defense,TAKEDOWN PACE (PER 5 MINUTES AT DISTANCE)_Landed,TAKEDOWN PACE (PER 5 MINUTES AT DISTANCE)_Attempted,TAKEDOWN PACE (PER 5 MINUTES AT DISTANCE)_Conceded,TAKEDOWN PACE (PER 5 MINUTES AT DISTANCE)_Faced,CLINCH + GROUND STRIKING PREVALENCE_% of Time,CLINCH + GROUND STRIKING PREVALENCE_% of Strikes,CLINCH + GROUND STRIKING PACE (PER MINUTE IN CLINCH/GROUND)_Landed,CLINCH + GROUND STRIKING PACE (PER MINUTE IN CLINCH/GROUND)_Absorbed,CLINCH + GROUND STRIKING PACE (PER MINUTE IN CLINCH/GROUND)_Differential,CLINCH + GROUND STRIKING EFFICIENCY_Accuracy,CLINCH + GROUND STRIKING EFFICIENCY_Defense,CLINCH STRIKING_% of Strikes Landed,CLINCH STRIKING_Accuracy,CLINCH STRIKING_% of Strikes Absorbed,CLINCH STRIKING_Defense,GROUND STRIKING_% of Strikes Landed,GROUND STRIKING_Accuracy,GROUND STRIKING_% of Strikes Absorbed,GROUND STRIKING_Defense,SUBMISSION ATTEMPTS_Attempts,SUBMISSION ATTEMPTS_per 5 Control Minutes,SUBMISSION ATTEMPTS_Success Rate,SUBMISSION ATTEMPTS_Attempts Faced,SUBMISSION ATTEMPTS_per 5 Controlled Minutes,SUBMISSION ATTEMPTS_Defense Rate,REVERSALS_Secured,REVERSALS_per 5 Controlled Minutes,REVERSALS_Conceded,REVERSALS_per 5 Control Minutes
01a,UFC FN: Du Plessis vs. Usman,Dricus Du Plessis,23-3-0,9-1-0,149,70%,12%,18%,39%,22,43,51%,15,8,23,35%,1.1,2.1,0.7,1.1,30%,18%,3.0,1.3,1.7,72%,20%,8%,70%,4%,20%,10%,74%,6%,20%,7,2.0,29%,1,0.2,100%,1,0.2,3,0.9
01b,UFC FN: Du Plessis vs. Usman,Kamaru Usman,21-4-0,16-3-0,339,52%,43%,4%,91%,63,143,44%,5,44,49,90%,1.8,4.0,0.1,1.4,48%,43%,3.7,1.0,2.7,78%,16%,17%,81%,13%,17%,26%,76%,5%,15%,2,0.1,50%,7,2.3,100%,0,0.0,1,0.0
02a,UFC FN: Du Plessis vs. Usman,Jared Cannonier,18-9-0,11-9-0,278,77%,11%,12%,47%,10,25,40%,24,44,68,65%,0.2,0.6,0.6,1.6,23%,19%,3.6,1.8,1.8,80%,39%,11%,79%,5%,38%,7%,81%,5%,41%,0,0.0,,3,0.4,100%,0,0.0,0,0.0
02b,UFC FN: Du Plessis vs. Usman,Christian Leroy Duncan,14-2-0,7-2-0,90,51%,21%,28%,43%,2,12,17%,11,19,30,63%,0.2,1.3,1.2,3.3,49%,24%,2.2,1.0,1.1,77%,31%,16%,78%,17%,33%,8%,76%,3%,22%,0,0.0,,0,0.0,,0,0.0,0,0.0
03a,UFC FN: Du Plessis vs. Usman,Chase Hooper,16-5-1,8-5-0,115,44%,35%,21%,62%,21,62,34%,9,9,18,50%,2.1,6.2,0.9,1.8,56%,39%,3.0,1.6,1.4,66%,18%,12%,58%,9%,25%,27%,70%,20%,15%,15,1.9,27%,5,1.0,100%,8,1.6,4,0.5
03b,UFC FN: Du Plessis vs. Usman,Mitch Ramirez,8-3-0,0-2-0,19,41%,2%,57%,4%,0,2,0%,3,1,4,25%,0.0,1.3,1.9,2.5,59%,12%,0.7,1.0,-0.3,89%,8%,12%,89%,3%,0%,0%,,13%,10%,0,0.0,,3,1.4,100%,0,0.0,0,0.0
04a,UFC FN: Du Plessis vs. Usman,Tabatha Ricci,12-4-0,7-4-0,143,66%,27%,7%,80%,24,64,38%,9,17,26,65%,1.3,3.4,0.5,1.4,34%,20%,2.3,1.8,0.5,82%,37%,7%,72%,10%,40%,13%,87%,3%,23%,1,0.1,100%,0,0.0,,1,0.5,0,0.0
04b,UFC FN: Du Plessis vs. Usman,Fatima Kline,9-1-0,3-1-0,52,53%,25%,22%,53%,7,12,58%,6,6,12,50%,1.3,2.2,1.1,2.2,47%,31%,3.3,1.0,2.3,73%,32%,12%,80%,11%,33%,18%,70%,6%,31%,0,0.0,,1,0.4,100%,3,1.3,1,0.4
05a,UFC FN: Du Plessis vs. Usman,Tommy McMillen,10-0-0,1-0-0,4,91%,3%,6%,29%,0,0,,0,0,0,,0.0,0.0,0.0,0.0,9%,16%,34.3,2.9,31.4,57%,80%,12%,56%,5%,80%,4%,60%,0%,,0,0.0,,0,0.0,,0,0.0,0,0.0
05b,UFC FN: Du Plessis vs. Usman,Alberto Montes,12-1-0,1-0-0,6,60%,6%,34%,16%,0,0,,0,3,3,100%,0.0,0.0,0.0,4.4,40%,19%,2.7,0.9,1.8,100%,0%,19%,100%,9%,0%,0%,,0%,,1,14.3,100%,0,0.0,,0,0.0,0,0.0
