name,_display_name,pro_record,total_wins,total_losses,total_draws,ko_wins,sub_wins,dec_wins,ko_losses,sub_losses,dec_losses,tapology_url,total_fights,finish_rate
Alberto Montes,Alberto Montes,11-1-0,11,1,0,1,7,3,1,0,0,https://www.tapology.com/fightcenter/fighters/162516-alberto-montes-the-promise,12,0.667
Anna Melisano,Anna Melisano,6-1-0,6,1,0,2,1,3,0,1,0,https://www.tapology.com/fightcenter/fighters/135931-anna-crutchfield,7,0.429
Christian Leroy Duncan,Christian Leroy Duncan,14-2-0,14,2,0,10,1,3,0,0,2,https://www.tapology.com/fightcenter/fighters/116334-christian-duncan,16,0.688
Chase Hooper,Chase Hooper,16-5-1,16,5,1,4,8,4,3,0,2,[Tapology](https://www.tapology.com/fightcenter/fighters/158947-chase-hooper),22,0.545
Austin Bashi,Austin Bashi,14-1-0,14,1,0,3,6,5,0,0,1,https://www.tapology.com/fightcenter/fighters/251547-austin-bashi,15,0.6
Alvin Hines,Alvin Hines,7-1-0,7,1,0,3,3,1,0,0,1,https://www.tapology.com/fightcenter/fighters/29107-goozie-hines,8,0.75
Dione Barbosa,Dione Barbosa,9-4-0,9,4,0,0,4,5,1,0,3,https://www.tapology.com/fightcenter/fighters/173579-dione-barbosa,13,0.308
Felipe Franco,Felipe Franco,10-2-0,10,2,0,6,4,0,0,1,1,https://www.tapology.com/fightcenter/fighters/360457-felipe-franco-negao,12,0.833
Dricus Du Plessis,Dricus Du Plessis,23-3-0,23,3,0,9,11,3,1,1,1,https://www.tapology.com/fightcenter/fighters/51267-dricus-du-plessis-stilknocks,26,0.769
Jose Delgado,Jose Delgado,11-2-0,11,2,0,6,4,1,0,0,2,https://www.tapology.com/fightcenter/fighters/196121-jose-delgado,13,0.769
Jared Cannonier,Jared Cannonier,18-9-0,18,9,0,10,3,5,3,0,6,https://www.tapology.com/fightcenter/fighters/63163-jared-cannonier,27,0.481
Fatima Kline,Fatima Kline,9-1-0,9,1,0,4,1,4,0,0,1,https://www.tapology.com/fightcenter/fighters/194482-fatima-kline,10,0.5
Kamaru Usman,Kamaru Usman,21-4-0,21,4,0,9,1,11,1,1,2,https://www.tapology.com/fightcenter/fighters/39265-kamarudeen-usman,25,0.4
Mitch Ramirez,Mitch Ramirez,8-3-0,8,3,0,5,2,1,3,0,0,https://www.tapology.com/fightcenter/fighters/140333-mitch-ramirez,11,0.636
Seokhyeon Ko,Seokhyeon Ko,13-2-0,13,2,0,6,0,7,2,0,0,https://www.tapology.com/fightcenter/fighters/175557-seok-hyun-ko,15,0.4
Stewart Nicoll,Stewart Nicoll,8-3-0,8,3,0,4,3,1,1,1,1,https://www.tapology.com/fightcenter/fighters/189829-stewart-nicoll,11,0.636
Tommy McMillen,Tommy McMillen,10-0-0,10,0,0,4,5,1,0,0,0,https://www.tapology.com/fightcenter/fighters/137845-tommy-mcmillian,10,0.9
Tabatha Ricci,Tabatha Ricci,12-4-0,12,4,0,2,3,7,1,0,3,https://www.tapology.com/fightcenter/fighters/81538-tabatha-ricci,16,0.312
RJ Harris,RJ Harris,5-0-0,5,0,0,1,3,1,0,0,0,https://www.tapology.com/fightcenter/fighters/382864-rj-harris,5,0.8
Jean-Paul Lebosnoyani,Jean-Paul Lebosnoyani,10-2-0,10,2,0,3,5,2,2,0,0,https://www.tapology.com/fightcenter/fighters/151988-jean-paul-lebosnoyani-the-lifeguard,12,0.667
Levi Rodrigues Jr.,Levi Rodrigues Jr.,5-0-0,5,0,0,5,0,0,0,0,0,https://www.tapology.com/fightcenter/fighters/293714-levi-rodrigues,5,1.0
Alden Coria,Alden Coria,12-3-0,12,3,0,5,4,3,0,1,2,https://www.tapology.com/fightcenter/fighters/111613-alden-coria,15,0.6
