Apex CSV Column Header,Corresponding Nate Latashaw data point name,Web site,,,,
Event,Manually Loaded,,,,,
fight_pair,Manually Loaded,,,,,
FIGHTER,Scrape from NateLatshwa.shinyapps.io,https://natelatshaw.shinyapps.io/ufc_fight_night_statistical_companion/,,,,
opponent_name,Scrape from NateLatshwa.shinyapps.io,https://natelatshaw.shinyapps.io/ufc_fight_night_statistical_companion/,,,,
weight_class,Last Weight Class,https://natelatshaw.shinyapps.io/ufc_fight_night_statistical_companion/,,,,
scheduled_rounds,"Main event/Championship fight=5, All others=3",tapology.com/fightcenter/fighters/{numeric-id}-{name-slug},,,,
short_notice,Manually Loaded,,,,,
dk_salary,Manually Loaded,,,,,
age,Age,https://natelatshaw.shinyapps.io/ufc_fight_night_statistical_companion/,,,,
reach,Reach,https://natelatshaw.shinyapps.io/ufc_fight_night_statistical_companion/,,,,
height,Height,https://natelatshaw.shinyapps.io/ufc_fight_night_statistical_companion/,,,,
stance,Stance,https://natelatshaw.shinyapps.io/ufc_fight_night_statistical_companion/,,,,
pro_record,Pull from Tapology,tapology.com/fightcenter/fighters/{numeric-id}-{name-slug},,,,
ufc_record,UFC Record,https://natelatshaw.shinyapps.io/ufc_fight_night_statistical_companion/,,,,
ufc_fight_count,Fights,https://natelatshaw.shinyapps.io/ufc_fight_night_statistical_companion/,,,,
career_ko_wins,Scrape ko wins from Tapology,tapology.com/fightcenter/fighters/{numeric-id}-{name-slug},,,,
career_sub_wins,Scrape sub wins from Tapology,tapology.com/fightcenter/fighters/{numeric-id}-{name-slug},,,,
career_ko_losses,Scrape ko losses from Tapology,tapology.com/fightcenter/fighters/{numeric-id}-{name-slug},,,,
career_sub_losses,Scrape ko losses from Tapology,tapology.com/fightcenter/fighters/{numeric-id}-{name-slug},,,,
slpm,Significant Strikes Landed per Minute,https://natelatshaw.shinyapps.io/ufc_fight_night_statistical_companion/,,,,
sig_strike_diff,Significant Striking Differential per Minute,https://natelatshaw.shinyapps.io/ufc_fight_night_statistical_companion/,,,,
kd_rate,Knockdown Rate,https://natelatshaw.shinyapps.io/ufc_fight_night_statistical_companion/,,,,
sapm,Significant Strikes Absorbed per Minute,https://natelatshaw.shinyapps.io/ufc_fight_night_statistical_companion/,,,,
kd_absorbed_rate,Knocked Down Rate,https://natelatshaw.shinyapps.io/ufc_fight_night_statistical_companion/,,,,
head_absorption_pct,% of Significant Strikes Absorbed to the Head,https://natelatshaw.shinyapps.io/ufc_fight_night_statistical_companion/,,,,
td_per_15,Takedowns Landed per 5 Minutes at Distance * 3,https://natelatshaw.shinyapps.io/ufc_fight_night_statistical_companion/,,,,
ctrl_time_per_15,Control Time per 15 Minutes,https://natelatshaw.shinyapps.io/ufc_fight_night_statistical_companion/,,,,
sub_win_pct,career_sub_wins /Total Fights,,,,,
ufc_minutes_fought,Minutes Fought,https://natelatshaw.shinyapps.io/ufc_fight_night_statistical_companion/,,,,
td_defense_pct,Takedown Defense,https://natelatshaw.shinyapps.io/ufc_fight_night_statistical_companion/,,,,
ctrl_absorbed_per_15,Controlled Time per 15 Minutes,https://natelatshaw.shinyapps.io/ufc_fight_night_statistical_companion/,,,,
recent_fight_1_result,"Scrape most recent mma fight W, L or D from UFCstats.com",http://ufcstats.com/statistics,,,,
recent_fight_1_method,Scrape most recent victory or loss method from UFCstats.com,http://ufcstats.com/statistics,,,,
recent_fight_2_result,"Scrape 2nd most recent mma fight W, L or D from UFCstats.com",http://ufcstats.com/statistics,,,,
recent_fight_2_method,Scrape 2nd most recent victory or loss method from UFCstats.com,http://ufcstats.com/statistics,,,,
recent_fight_3_result,"Scrape 3rd most recent mma fight W, L or D from UFCstats.com",http://ufcstats.com/statistics,,,,
recent_fight_3_method,Scrape 3rd most recent victory or loss method from UFCstats.com,http://ufcstats.com/statistics,,,,
opp_ufc_win_pct,Opponent UFC Win %,https://natelatshaw.shinyapps.io/ufc_fight_night_statistical_companion/,,,,
