name,height,reach,age,rank,total_rounds,title_bouts,dias_inativo,wins,losses,win_streak,lose_streak,longest_win_streak,ko_wins,sub_wins,SLpM,sig_str_acc,td_avg,td_acc,sub_avg,ctrl_avg,kd_per_fight,head_ratio,body_ratio,leg_ratio,distance_ratio,clinch_ratio,ground_ratio,sig_pct_fade,td_fade,ctrl_fade,rev_avg,finish_rate,ko_rate,sub_rate,SApM,str_def,td_def,ufc_debut,win_rate_l5,win_rate_l3
Rashad Evans,182.88,190.5,38,,61,4,2900,14.0,9.0,0.0,5.0,5.0,6.0,0.0,2.1697834935991978,0.3904242424242424,2.409090909090909,0.4274193548387097,0.0,219.0909090909091,0.1818181818181818,0.7879282218597063,0.1419249592169657,0.0701468189233279,0.5856443719412724,0.1876019575856443,0.2267536704730832,0.0059642857142857,-3.946428571428571,-229.55357142857144,0.0454545454545454,0.3636363636363636,0.3636363636363636,0.0,2.567353407290016,0.642478813559322,0.75,2010-05-29,0.4,0.0
Waldo Cortes-Acosta,193.04,198.12,32,,14,0,737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-10-29,0.75,0.6666666666666666
Jarno Errens,180.34,185.42,29,,9,0,646,1.0,3.0,0.0,1.0,1.0,0.0,0.0,3.4444444444444446,0.43,0.0,0.0,0.3333333333333333,41.0,0.6666666666666666,0.4774193548387097,0.2774193548387096,0.2451612903225806,0.9548387096774194,0.0451612903225806,0.0,0.1166666666666667,0.0,1.0,0.0,0.0,0.0,0.0,3.355555555555556,0.6326034063260341,0.2857142857142857,2022-09-03,0.3333333333333333,0.3333333333333333
Maki Pitolo,177.8,190.5,31,,13,0,1626,1.0,5.0,0.0,4.0,1.0,1.0,0.0,3.768472906403941,0.4063333333333333,1.8,0.5294117647058824,0.4,157.2,0.0,0.7156862745098039,0.230392156862745,0.0539215686274509,0.8872549019607843,0.0588235294117647,0.0539215686274509,0.0544444444444444,2.0,99.33333333333334,0.4,0.6,0.2,0.4,3.657635467980296,0.5667396061269147,0.5555555555555556,2019-10-05,0.0,0.0
Luke Riley,175.26,175.26,26,,2,0,58,2.0,0.0,2.0,0.0,2.0,1.0,0.0,2.5454545454545454,0.55,0.0,0.0,0.0,15.0,1.0,0.7857142857142857,0.0714285714285714,0.1428571428571428,0.2857142857142857,0.0714285714285714,0.6428571428571429,,,,0.0,1.0,1.0,0.0,1.2727272727272727,0.4615384615384615,0.4285714285714286,2025-11-22,1.0,1.0
Nicolae Negumereanu,182.88,198.12,28,,12,0,1283,4.0,2.0,0.0,1.0,4.0,2.0,0.0,3.792160437556973,0.415,0.8,0.2857142857142857,0.0,152.2,0.0,0.7596153846153846,0.0913461538461538,0.1490384615384615,0.7355769230769231,0.235576923076923,0.0288461538461538,0.1861111111111111,1.0,156.33333333333334,0.0,0.4,0.4,0.0,5.68824065633546,0.3941747572815534,0.625,2019-03-16,0.8,1.0
Alibi Idiris,167.64,172.72,31,,2,1,86,1.0,1.0,1.0,0.0,1.0,0.0,0.0,3.471074380165289,0.5,0.0,0.0,0.0,64.0,0.0,0.3214285714285714,0.6071428571428571,0.0714285714285714,0.7857142857142857,0.2142857142857142,0.0,,,,1.0,1.0,0.0,1.0,3.59504132231405,0.5396825396825398,0.6,2025-08-16,0.0,0.0
Serghei Spivac,190.5,198.12,31,7.0,26,0,86,9.0,6.0,1.0,0.0,3.0,3.0,3.0,3.918409324648612,0.4664285714285714,2.2142857142857144,0.62,0.2857142857142857,163.78571428571428,0.0,0.9343832020997376,0.0393700787401574,0.0262467191601049,0.5459317585301837,0.0446194225721784,0.4094488188976378,0.0706944444444444,0.4166666666666665,4.5,0.0714285714285714,0.7142857142857143,0.5,0.2142857142857142,4.55385709207252,0.4855421686746988,0.3333333333333333,2019-05-04,0.8,0.6666666666666666
Shannon Ross,167.64,167.64,34,,4,0,891,0.0,3.0,0.0,3.0,0.0,0.0,0.0,2.368421052631579,0.455,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.0,0.0,0.41,0.0,0.0,0.0,1.0,1.0,0.0,12.63157894736842,0.36,1.0,2023-02-11,0.0,0.0
Asu Almabayev,162.56,165.1,31,8.0,17,0,177,6.0,1.0,2.0,0.0,4.0,0.0,2.0,2.16283405842138,0.5588888888888889,4.166666666666667,0.4310344827586206,1.3333333333333333,410.5,0.1666666666666666,0.5114942528735632,0.2471264367816092,0.2413793103448276,0.5977011494252874,0.1091954022988505,0.293103448275862,-0.065,-2.0,-165.0,0.1666666666666666,0.3333333333333333,0.1666666666666666,0.1666666666666666,1.7526413921690491,0.5204081632653061,0.5,2023-08-05,0.8,0.6666666666666666
Alex Reyes,180.34,185.42,37,,2,0,639,0.0,3.0,0.0,3.0,0.0,0.0,0.0,4.040404040404041,0.41,0.0,0.0,0.0,9.5,0.0,0.45,0.3,0.25,0.75,0.25,0.0,-0.1,0.0,-17.0,0.0,1.0,1.0,0.0,10.909090909090908,0.4,1.0,2017-09-16,0.0,0.0
Austin Arnett,182.88,182.88,27,,8,0,2655,1.0,3.0,0.0,1.0,1.0,0.0,0.0,3.3247422680412373,0.3972222222222222,0.6666666666666666,0.1818181818181818,0.0,142.0,0.0,0.7286821705426356,0.2635658914728682,0.0077519379844961,0.7209302325581395,0.1395348837209302,0.1395348837209302,0.2783333333333334,0.0,290.0,0.0,0.3333333333333333,0.3333333333333333,0.0,4.768041237113402,0.5398009950248757,0.4,2018-01-27,0.3333333333333333,0.3333333333333333
