Event,FIGHTER,OPEN,CURRENT,IMPLIED,ELO,GPT,SIM,MMA-AI,CAPPERS,GROK,CLAUDE,GEMINI,CHAT GPT,DEEP SEEK,AI-AVERAGE,MODEL 75,NEW MODEL,SCRAP,CAGE PICKS,CAGE PICKS,ELO/IMPLIED,RESULTS,METHOD,ROUND
UFC 324,Justin Gaethje,160,190,33.1,40.99,33.41,32.5,24.0,22.4,41.25,42.37,38.58,41.82,41.72,41.15,38.45,37.02,35.65,36.96,37.29,37.05,W,UD,15
UFC 324,Paddy Pimblett,-185,-230,66.9,59.01,66.59,67.5,76.0,77.6,58.75,57.63,61.42,58.18,58.28,58.85,61.55,62.98,64.35,63.04,62.71,62.96,L,UD,15
UFC 324,Sean O'Malley,-300,-205,64.47,54.26,84.76,65.7,63.0,85.7,62.18,68.42,71.14,61.34,68.91,66.40,60.30,62.30,68.17,68.18,66.05,59.37,W,UD,15
UFC 324,Song Yadong,250,170,35.53,45.74,15.24,34.3,36.0,14.3,37.82,31.58,28.86,38.66,31.09,33.60,39.70,37.65,31.74,31.69,33.85,40.64,L,UD,15
UFC 324,Waldo Cortes Acosta,-205,-340,74.09,63.59,70.81,74.4,84.0,76.8,71.43,71.28,79.82,69.11,77.18,73.76,69.70,70.81,73.86,74.75,73.13,68.84,W,KO,R2
UFC 324,Derrick Lewis,175,270,25.91,36.41,29.19,25.6,16.0,23.2,28.57,28.72,20.18,30.89,22.82,26.24,30.30,29.19,26.14,25.25,26.87,31.16,L,KO,R2
UFC 324,Natalia Silva,-150,-345,74.41,63.06,77.6,72.6,85.0,92.7,74.56,78.94,82.45,72.44,79.63,77.60,70.68,71.79,77.58,77.90,75.71,68.74,W,UD,15
UFC 324,Rose Namajunas,130,275,25.59,36.94,22.4,27.4,15.0,7.3,25.44,21.06,17.55,27.56,20.37,22.40,29.32,28.21,22.42,22.10,24.29,31.27,L,UD,15
UFC 324,Arnold Allen,130,210,30.92,64.2,35.07,34.3,38.0,23.5,34.67,54.73,25.5,36.77,38.44,38.02,43.26,44.10,37.83,37.19,40.31,47.56,L,UD,15
UFC 324,Jean Silva,-150,-258,69.08,35.8,64.93,65.7,62.0,76.5,65.33,45.27,74.5,63.23,61.56,61.98,56.74,55.90,62.17,62.82,59.69,52.44,W,UD,15
