event_name,fighter_1,fighter_2,prob_f1,prob_f2,predicted_winner,odds_f1,odds_f2,conviction,actual_winner,correct,saved_at
TEST EVENT,Fighter A,Fighter B,0.65,0.35,Fighter A,1.8,2.1,SLIGHT,,,2026-05-17
UFC Fight Night: Song vs. Figueiredo,Song Yadong,Deiveson Figueiredo,0.7729,0.2271,Song Yadong,1.21,4.1,MODERATE CONVICTION,,,2026-05-17
UFC Fight Night: Song vs. Figueiredo,Kai Asakura,Cameron Smotherman,0.7461,0.2539,Kai Asakura,1.28,3.5,SLIGHT FAVOURITE,,,2026-05-17
UFC Fight Night: Song vs. Figueiredo,Zhang Mingyang,Alonzo Menifield,0.6512,0.3488,Zhang Mingyang,1.45,2.75,SLIGHT FAVOURITE,,,2026-05-17
UFC Fight Night: Song vs. Figueiredo,Aoriqileng,Cody Haddon,0.5478,0.4522,Aoriqileng,,,TOO CLOSE TO CALL,,,2026-05-17
UFC Fight Night: Song vs. Figueiredo,Sergei Pavlovich,Tallison Teixeira,0.5419,0.4581,Sergei Pavlovich,,,TOO CLOSE TO CALL,,,2026-05-17
UFC Fight Night: Song vs. Figueiredo,Alex Perez,Sumudaerji,0.5391,0.4609,Alex Perez,,,TOO CLOSE TO CALL,,,2026-05-17
UFC Fight Night: Song vs. Figueiredo,Loma Lookboonmee,Jaqueline Amorim,0.4685,0.5315,Jaqueline Amorim,2.05,1.74,TOO CLOSE TO CALL,,,2026-05-17
UFC Fight Night: Song vs. Figueiredo,Muslim Salikhov,Jake Matthews,0.5251,0.4749,Muslim Salikhov,1.815,1.885,TOO CLOSE TO CALL,,,2026-05-17
UFC Fight Night: Song vs. Figueiredo,Rei Tsuruya,Jesus Aguilar,0.4995,0.5005,Jesus Aguilar,,,TOO CLOSE TO CALL,,,2026-05-17
UFC Fight Night: Muhammad vs. Bonfim,Bryce Mitchell,Victor Henry,0.6058,0.3942,Bryce Mitchell,,,TOO CLOSE TO CALL,,,2026-05-17
UFC Fight Night: Muhammad vs. Bonfim,Imanol Rodriguez,Matt Schnell,0.5869,0.4131,Imanol Rodriguez,,,TOO CLOSE TO CALL,,,2026-05-17
UFC Fight Night: Muhammad vs. Bonfim,Bruno Silva,Edgar Chairez,0.5816,0.4184,Bruno Silva,,,TOO CLOSE TO CALL,,,2026-05-17
UFC Fight Night: Muhammad vs. Bonfim,Brendan Allen,Edmen Shahbazyan,0.5609,0.4391,Brendan Allen,,,TOO CLOSE TO CALL,,,2026-05-17
UFC Fight Night: Muhammad vs. Bonfim,Jordan Leavitt,Joanderson Brito,0.5529,0.4471,Jordan Leavitt,,,TOO CLOSE TO CALL,,,2026-05-17
UFC Fight Night: Muhammad vs. Bonfim,Belal Muhammad,Gabriel Bonfim,0.5528,0.4472,Belal Muhammad,,,TOO CLOSE TO CALL,,,2026-05-17
UFC Fight Night: Muhammad vs. Bonfim,Ketlen Souza,Ariane Carnelossi,0.5517,0.4483,Ketlen Souza,,,TOO CLOSE TO CALL,,,2026-05-17
UFC Fight Night: Muhammad vs. Bonfim,Fares Ziam,Tom Nolan,0.5485,0.4515,Fares Ziam,,,TOO CLOSE TO CALL,,,2026-05-17
UFC Fight Night: Muhammad vs. Bonfim,Marcus McGhee,Jakub Wiklacz,0.531,0.469,Marcus McGhee,,,TOO CLOSE TO CALL,,,2026-05-17
UFC Fight Night: Muhammad vs. Bonfim,Iwo Baraniewski,Billy Elekana,0.4714,0.5286,Billy Elekana,,,TOO CLOSE TO CALL,,,2026-05-17
UFC Fight Night: Muhammad vs. Bonfim,Priscila Cachoeira,Chelsea Chandler,0.5062,0.4938,Priscila Cachoeira,,,TOO CLOSE TO CALL,,,2026-05-17
UFC Freedom 250,Ilia Topuria,Justin Gaethje,0.833,0.167,Ilia Topuria,1.13,6.25,HIGH CONVICTION,,,2026-05-17
UFC Freedom 250,Mauricio Ruffy,Michael Chandler,0.8102,0.1898,Mauricio Ruffy,1.17,5.2,HIGH CONVICTION,,,2026-05-17
UFC Freedom 250,Sean O'Malley,Aiemann Zahabi,0.8048,0.1952,Sean O'Malley,1.25,4.1,HIGH CONVICTION,,,2026-05-17
UFC Freedom 250,Bo Nickal,Kyle Daukaus,0.7642,0.2358,Bo Nickal,1.33,3.4,MODERATE CONVICTION,,,2026-05-17
UFC Freedom 250,Alex Pereira,Ciryl Gane,0.439,0.561,Ciryl Gane,1.8849999999999998,1.915,TOO CLOSE TO CALL,,,2026-05-17
UFC Freedom 250,Josh Hokit,Derrick Lewis,0.4562,0.5438,Derrick Lewis,3.575,1.29,TOO CLOSE TO CALL,,,2026-05-17
UFC Freedom 250,Diego Lopes,Steve Garcia,0.5276,0.4724,Diego Lopes,,,TOO CLOSE TO CALL,,,2026-05-17
